["LRY-REL-014285","CLAUSE_SEQUENCE","S08-LRY-PAIR-072-C003","S08-LRY-PAIR-072-C004","FORWARD",["SEQUENCE"],"LRY-PC-0700","ACTIVE"]
["LRY-REL-014298","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C008","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014299","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C009","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014300","NODE_TO_CLAUSE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C010","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014301","CLAUSE_SEQUENCE","S08-LRY-PAIR-072-C007","S08-LRY-PAIR-316-C001","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014302","QUANTITY_SCOPE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014303","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C001","S08-LRY-PAIR-316-C002","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014304","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C002","S08-LRY-PAIR-316-C003","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014305","NEGATION_SCOPE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C003","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014306","QUANTITY_SCOPE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C003","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014307","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C003","S08-LRY-PAIR-316-C004","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014308","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C004","S08-LRY-PAIR-316-C005","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014309","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C005","S08-LRY-PAIR-316-C006","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014310","QUANTITY_SCOPE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C006","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014311","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C006","S08-LRY-PAIR-316-C007","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014312","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C007","S08-LRY-PAIR-316-C008","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014313","QUANTITY_SCOPE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C008","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014314","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C008","S08-LRY-PAIR-316-C009","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014315","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C009","S08-LRY-PAIR-316-C010","FORWARD",["SEQUENCE"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014316","QUANTITY_SCOPE","S08-LRY-PAIR-316","S08-LRY-PAIR-316-C010","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0701","ACTIVE"]
["LRY-REL-014317","NODE_TO_CLAUSE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014318","NODE_TO_CLAUSE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014319","NODE_TO_CLAUSE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014320","NODE_TO_CLAUSE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014321","NODE_TO_CLAUSE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C005","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014322","NODE_TO_CLAUSE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C006","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014323","NODE_TO_CLAUSE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C007","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014324","CLAUSE_SEQUENCE","S08-LRY-PAIR-316-C010","S08-LRY-PAIR-085-C001","FORWARD",["SEQUENCE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014325","QUANTITY_SCOPE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014326","CLAUSE_SEQUENCE","S08-LRY-PAIR-085-C001","S08-LRY-PAIR-085-C002","FORWARD",["SEQUENCE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014327","ALTERNATIVE_TARGET","S08-LRY-PAIR-085-C002","S08-LRY-PAIR-085-C001","BACK_REFERENCE",["ALTERNATIVE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014328","CLAUSE_SEQUENCE","S08-LRY-PAIR-085-C002","S08-LRY-PAIR-085-C003","FORWARD",["SEQUENCE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014329","LIMITATION_SCOPE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C003","PARENT_TO_CHILD",["LIMITATION"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014330","QUANTITY_SCOPE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C003","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014331","CLAUSE_SEQUENCE","S08-LRY-PAIR-085-C003","S08-LRY-PAIR-085-C004","FORWARD",["SEQUENCE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014332","QUANTITY_SCOPE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C004","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014333","CLAUSE_SEQUENCE","S08-LRY-PAIR-085-C004","S08-LRY-PAIR-085-C005","FORWARD",["SEQUENCE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014334","QUANTITY_SCOPE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C005","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014335","CLAUSE_SEQUENCE","S08-LRY-PAIR-085-C005","S08-LRY-PAIR-085-C006","FORWARD",["SEQUENCE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014336","QUANTITY_SCOPE","S08-LRY-PAIR-085","S08-LRY-PAIR-085-C006","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014337","CLAUSE_SEQUENCE","S08-LRY-PAIR-085-C006","S08-LRY-PAIR-085-C007","FORWARD",["SEQUENCE"],"LRY-PC-0703","ACTIVE"]
["LRY-REL-014338","NODE_TO_CLAUSE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014339","NODE_TO_CLAUSE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014340","NODE_TO_CLAUSE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014341","NODE_TO_CLAUSE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014342","NODE_TO_CLAUSE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C005","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014343","NODE_TO_CLAUSE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C006","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014344","CLAUSE_SEQUENCE","S08-LRY-PAIR-085-C007","S08-LRY-PAIR-489-C001","FORWARD",["SEQUENCE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014345","QUANTITY_SCOPE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014346","CLAUSE_SEQUENCE","S08-LRY-PAIR-489-C001","S08-LRY-PAIR-489-C002","FORWARD",["SEQUENCE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014347","QUANTITY_SCOPE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C002","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014348","CLAUSE_SEQUENCE","S08-LRY-PAIR-489-C002","S08-LRY-PAIR-489-C003","FORWARD",["SEQUENCE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014349","COMPARISON_TARGET","S08-LRY-PAIR-489-C003","S08-LRY-PAIR-489-C002","BACK_REFERENCE",["COMPARISON"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014350","QUANTITY_SCOPE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C003","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014351","CLAUSE_SEQUENCE","S08-LRY-PAIR-489-C003","S08-LRY-PAIR-489-C004","FORWARD",["SEQUENCE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014352","QUANTITY_SCOPE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C004","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014353","CLAUSE_SEQUENCE","S08-LRY-PAIR-489-C004","S08-LRY-PAIR-489-C005","FORWARD",["SEQUENCE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014354","QUANTITY_SCOPE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C005","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014355","CLAUSE_SEQUENCE","S08-LRY-PAIR-489-C005","S08-LRY-PAIR-489-C006","FORWARD",["SEQUENCE"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014356","QUANTITY_SCOPE","S08-LRY-PAIR-489","S08-LRY-PAIR-489-C006","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0704","ACTIVE"]
["LRY-REL-014357","NODE_TO_CLAUSE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014358","NODE_TO_CLAUSE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014359","NODE_TO_CLAUSE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014360","NODE_TO_CLAUSE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014361","CLAUSE_SEQUENCE","S08-LRY-PAIR-489-C006","S08-LRY-PAIR-086-C001","FORWARD",["SEQUENCE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014362","NEGATION_SCOPE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C001","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014363","QUANTITY_SCOPE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014364","CLAUSE_SEQUENCE","S08-LRY-PAIR-086-C001","S08-LRY-PAIR-086-C002","FORWARD",["SEQUENCE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014365","QUANTITY_SCOPE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C002","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014366","CLAUSE_SEQUENCE","S08-LRY-PAIR-086-C002","S08-LRY-PAIR-086-C003","FORWARD",["SEQUENCE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014367","CLAUSE_SEQUENCE","S08-LRY-PAIR-086-C003","S08-LRY-PAIR-086-C004","FORWARD",["SEQUENCE"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014368","QUANTITY_SCOPE","S08-LRY-PAIR-086","S08-LRY-PAIR-086-C004","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0705","ACTIVE"]
["LRY-REL-014369","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014370","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014371","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014372","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014373","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C005","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014374","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C006","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014375","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C007","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014376","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C008","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014377","NODE_TO_CLAUSE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C009","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014378","CLAUSE_SEQUENCE","S08-LRY-PAIR-086-C004","S08-LRY-PAIR-490-C001","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014379","QUANTITY_SCOPE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014380","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C001","S08-LRY-PAIR-490-C002","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014381","QUANTITY_SCOPE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C002","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014382","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C002","S08-LRY-PAIR-490-C003","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014383","ALTERNATIVE_TARGET","S08-LRY-PAIR-490-C003","S08-LRY-PAIR-490-C002","BACK_REFERENCE",["ALTERNATIVE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014384","QUANTITY_SCOPE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C003","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014385","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C003","S08-LRY-PAIR-490-C004","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014386","QUANTITY_SCOPE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C004","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014387","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C004","S08-LRY-PAIR-490-C005","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014388","QUANTITY_SCOPE","S08-LRY-PAIR-490","S08-LRY-PAIR-490-C005","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014389","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C005","S08-LRY-PAIR-490-C006","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014390","ALTERNATIVE_TARGET","S08-LRY-PAIR-490-C006","S08-LRY-PAIR-490-C005","BACK_REFERENCE",["ALTERNATIVE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014391","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C006","S08-LRY-PAIR-490-C007","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014392","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C007","S08-LRY-PAIR-490-C008","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014393","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C008","S08-LRY-PAIR-490-C009","FORWARD",["SEQUENCE"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014394","COMPARISON_TARGET","S08-LRY-PAIR-490-C009","S08-LRY-PAIR-490-C008","BACK_REFERENCE",["COMPARISON"],"LRY-PC-0706","ACTIVE"]
["LRY-REL-014395","NODE_TO_CLAUSE","S08-LRY-PAIR-087","S08-LRY-PAIR-087-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014396","NODE_TO_CLAUSE","S08-LRY-PAIR-087","S08-LRY-PAIR-087-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014397","NODE_TO_CLAUSE","S08-LRY-PAIR-087","S08-LRY-PAIR-087-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014398","CLAUSE_SEQUENCE","S08-LRY-PAIR-490-C009","S08-LRY-PAIR-087-C001","FORWARD",["SEQUENCE"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014399","QUANTITY_SCOPE","S08-LRY-PAIR-087","S08-LRY-PAIR-087-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014400","CLAUSE_SEQUENCE","S08-LRY-PAIR-087-C001","S08-LRY-PAIR-087-C002","FORWARD",["SEQUENCE"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014401","CLAUSE_SEQUENCE","S08-LRY-PAIR-087-C002","S08-LRY-PAIR-087-C003","FORWARD",["SEQUENCE"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014402","QUANTITY_SCOPE","S08-LRY-PAIR-087","S08-LRY-PAIR-087-C003","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0707","ACTIVE"]
["LRY-REL-014403","NODE_TO_CLAUSE","S08-LRY-PAIR-491","S08-LRY-PAIR-491-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014404","NODE_TO_CLAUSE","S08-LRY-PAIR-491","S08-LRY-PAIR-491-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014405","NODE_TO_CLAUSE","S08-LRY-PAIR-491","S08-LRY-PAIR-491-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014406","NODE_TO_CLAUSE","S08-LRY-PAIR-491","S08-LRY-PAIR-491-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014407","CLAUSE_SEQUENCE","S08-LRY-PAIR-087-C003","S08-LRY-PAIR-491-C001","FORWARD",["SEQUENCE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014408","NEGATION_SCOPE","S08-LRY-PAIR-491","S08-LRY-PAIR-491-C001","PARENT_TO_CHILD",["NEGATION"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014409","QUANTITY_SCOPE","S08-LRY-PAIR-491","S08-LRY-PAIR-491-C001","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014410","CLAUSE_SEQUENCE","S08-LRY-PAIR-491-C001","S08-LRY-PAIR-491-C002","FORWARD",["SEQUENCE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014411","QUANTITY_SCOPE","S08-LRY-PAIR-491","S08-LRY-PAIR-491-C002","PARENT_TO_CHILD",["QUANTITY"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014412","CLAUSE_SEQUENCE","S08-LRY-PAIR-491-C002","S08-LRY-PAIR-491-C003","FORWARD",["SEQUENCE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014413","CLAUSE_SEQUENCE","S08-LRY-PAIR-491-C003","S08-LRY-PAIR-491-C004","FORWARD",["SEQUENCE"],"LRY-PC-0708","ACTIVE"]
["LRY-REL-014414","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C001","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014415","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C002","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014416","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C003","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014417","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C004","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014418","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C005","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014419","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C006","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014420","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C007","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014421","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C008","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014422","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C009","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
["LRY-REL-014423","NODE_TO_CLAUSE","S08-LRY-PAIR-088","S08-LRY-PAIR-088-C010","PARENT_TO_CHILD",["SUBJECT_SCOPE"],"LRY-PC-0709","ACTIVE"]
