S09-J015-R0180-JI-S01	S09-J015-R0180-JI	1	配偶的身体不好	SPOUSE	ROMANTIC_RELATION+HEALTH_STATE	MARRIAGE_RELATION	HEALTH_BODY+PARENT_DOCUMENT	MARRIAGE_RELATION_CHAIN+HEALTH_RISK_CHAIN+PARENT_DOCUMENT_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT+HEALTH_ENDPOINT_LIMIT+FORMAL_ENDPOINT_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_FORMALIZATION_ENDPOINT	ACTIVE
S09-J016-R0181-KE-S03	S09-J016-R0181-KE	3	一生遭遇困难有贵人相助	CONTEXT_SUBJECT	RELATION_SUPPORT	FRIEND_GROUP	SELF_BEHAVIOR	FRIEND_PARTNERSHIP_CHAIN+SELF_STATE_CHAIN	NONE	PRESENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+GROUP_RISK_LIMIT+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_GROUP_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J016-R0181-JI-S01	S09-J016-R0181-JI	1	子女品性不好	CHILD	CHILD_STATE	CHILD_OUTPUT	SELF_BEHAVIOR	CHILD_OUTPUT_CHAIN+SELF_STATE_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+PERSONALITY_ONLY_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J016-R0181-JI-S02	S09-J016-R0181-JI	2	无福	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	SELF_BEHAVIOR	NONE	SELF_STATE_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_RESULTIZATION	ACTIVE
S09-J016-R0181-JI-S03	S09-J016-R0181-JI	3	应行善、吃斋、修业	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	SELF_BEHAVIOR	NONE	SELF_STATE_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+PERSONALITY_ONLY_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_RESULTIZATION	ACTIVE
S09-J016-R0182-LU-S01	S09-J016-R0182-LU	1	子女财运好	CHILD	CHILD_STATE+MONEY_INFLOW	CHILD_OUTPUT	MONEY_FINANCE+SIBLING_RESOURCE	CHILD_OUTPUT_CHAIN+FINANCE_FIVE_AXIS_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+FINANCE_RESULT_LIMIT+AUX_RESOURCE_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_FINANCE_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-LU-S02	S09-J016-R0182-LU	2	做生意、上班皆能称心如意	CONTEXT_SUBJECT	CAREER_ACTION	CAREER_WORK	SIBLING_RESOURCE	CAREER_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CAREER_ENDPOINT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PROMOTION_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-QUAN-S01	S09-J016-R0182-QUAN	1	子女用钱较无节制	CHILD	CHILD_STATE	CHILD_OUTPUT	MONEY_FINANCE+PLEASURE_MIND+SIBLING_RESOURCE	CHILD_OUTPUT_CHAIN+FINANCE_FIVE_AXIS_CHAIN+MENTAL_PLEASURE_STATE_CHAIN+RESOURCE_RELATION_CHAIN	NONE	PRESENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+FINANCE_RESULT_LIMIT+PLEASURE_ONLY_LIMIT+AUX_RESOURCE_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_FINANCE_ENDPOINT+ZERO_RESULTIZATION+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-QUAN-S02	S09-J016-R0182-QUAN	2	常不计后果	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	SIBLING_RESOURCE	NONE	RESOURCE_RELATION_CHAIN	NONE	PRESENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-QUAN-S03	S09-J016-R0182-QUAN	3	胡乱投资	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	SIBLING_RESOURCE	FINANCE_FIVE_AXIS_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-KE-S01	S09-J016-R0182-KE	1	子女收入固定	CHILD	CHILD_STATE+MONEY_INFLOW	CHILD_OUTPUT	MONEY_FINANCE+SIBLING_RESOURCE	CHILD_OUTPUT_CHAIN+FINANCE_FIVE_AXIS_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+FINANCE_RESULT_LIMIT+AUX_RESOURCE_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_FINANCE_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-KE-S02	S09-J016-R0182-KE	2	用钱有计划	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MONEY_FINANCE	SIBLING_RESOURCE	FINANCE_FIVE_AXIS_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-KE-S03	S09-J016-R0182-KE	3	并会做储蓄	CONTEXT_SUBJECT	MONEY_RETENTION	MONEY_FINANCE	SIBLING_RESOURCE	FINANCE_FIVE_AXIS_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+FINANCE_RESULT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_FINANCE_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-JI-S01	S09-J016-R0182-JI	1	子女浪费无度	CHILD	CHILD_STATE+MONEY_OUTFLOW	CHILD_OUTPUT	PLEASURE_MIND+SIBLING_RESOURCE	CHILD_OUTPUT_CHAIN+MENTAL_PLEASURE_STATE_CHAIN+RESOURCE_RELATION_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+PLEASURE_ONLY_LIMIT+AUX_RESOURCE_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_RESULTIZATION+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-JI-S02	S09-J016-R0182-JI	2	谋生能力又差	CONTEXT_SUBJECT	CAREER_ACTION	CAREER_WORK	SIBLING_RESOURCE	CAREER_CHAIN+RESOURCE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CAREER_ENDPOINT_LIMIT+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PROMOTION_ENDPOINT+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0182-JI-S03	S09-J016-R0182-JI	3	易坐吃山空	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	SIBLING_RESOURCE	NONE	RESOURCE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+AUX_RESOURCE_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_AUX_PALACE_OVERRIDE	ACTIVE
S09-J016-R0183-LU-S01	S09-J016-R0183-LU	1	子女人缘好	CHILD	CHILD_STATE	CHILD_OUTPUT	FRIEND_GROUP+MARRIAGE_RELATION	CHILD_OUTPUT_CHAIN+FRIEND_PARTNERSHIP_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+GROUP_RISK_LIMIT+RELATION_STATUS_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_GROUP_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-LU-S02	S09-J016-R0183-LU	2	有才能	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MARRIAGE_RELATION	NONE	MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-LU-S03	S09-J016-R0183-LU	3	易升迁	CONTEXT_SUBJECT	CAREER_FORMALIZATION	CAREER_WORK	MARRIAGE_RELATION	CAREER_CHAIN+MARRIAGE_RELATION_CHAIN	升迁	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CAREER_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT+HIGH_THRESHOLD_REQUIRES_S17	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PROMOTION_ENDPOINT+ZERO_PEACH_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
S09-J016-R0183-LU-S04	S09-J016-R0183-LU	4	公务服务	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	MARRIAGE_RELATION	NONE	MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-QUAN-S01	S09-J016-R0183-QUAN	1	子女体健好动	CHILD	CHILD_STATE	CHILD_OUTPUT	MARRIAGE_RELATION	CHILD_OUTPUT_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-QUAN-S02	S09-J016-R0183-QUAN	2	易因大意而遭到伤害、灾厄	CONTEXT_SUBJECT	HEALTH_RISK	HEALTH_BODY	MARRIAGE_RELATION	HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-KE-S01	S09-J016-R0183-KE	1	子女文静、好学	CHILD	CHILD_STATE	CHILD_OUTPUT	MARRIAGE_RELATION	CHILD_OUTPUT_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-KE-S02	S09-J016-R0183-KE	2	人缘好	CONTEXT_SUBJECT	SEMANTIC_ACTION_REQUIRES_S17	FRIEND_GROUP	MARRIAGE_RELATION	FRIEND_PARTNERSHIP_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+GROUP_RISK_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_GROUP_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-KE-S03	S09-J016-R0183-KE	3	多朋友贵人帮助	FRIEND_TEAM	RELATION_SUPPORT+GROUP_ACTION	FRIEND_GROUP	MARRIAGE_RELATION	FRIEND_PARTNERSHIP_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+GROUP_RISK_LIMIT+RELATION_STATUS_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_GROUP_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-JI-S01	S09-J016-R0183-JI	1	子女体质不好	CHILD	CHILD_STATE+HEALTH_STATE	CHILD_OUTPUT	HEALTH_BODY+MARRIAGE_RELATION	CHILD_OUTPUT_CHAIN+HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	PRESENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-JI-S02	S09-J016-R0183-JI	2	易患疾病	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	MARRIAGE_RELATION	HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0183-JI-S03	S09-J016-R0183-JI	3	生病恢复缓慢	CONTEXT_SUBJECT	HEALTH_STATE	HEALTH_BODY	MARRIAGE_RELATION	HEALTH_RISK_CHAIN+MARRIAGE_RELATION_CHAIN	NONE	ABSENT	ABSENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+HEALTH_ENDPOINT_LIMIT+RELATION_STATUS_LIMIT	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_HEALTH_ENDPOINT+ZERO_PEACH_ENDPOINT	ACTIVE
S09-J016-R0184-LU-S01	S09-J016-R0184-LU	1	子女多享受	CHILD	CHILD_STATE+PLEASURE_STATE	CHILD_OUTPUT	PLEASURE_MIND	CHILD_OUTPUT_CHAIN+MENTAL_PLEASURE_STATE_CHAIN	NONE	ABSENT	PRESENT	SINGLE_144_SOURCE_LIMIT+TOPIC_AXIS_REQUIRED+DUPLICATE_SYMBOL_MERGE+DYNAMIC_LAYER_CONDITIONAL+CHILD_ENDPOINT_LIMIT+PLEASURE_ONLY_LIMIT+PERSON_TAIJI_REQUIRED	ZERO_SINGLE_144+ZERO_DUPLICATE_STACKING+ZERO_CHILD_ENDPOINT+ZERO_RESULTIZATION	ACTIVE
